date,observed,season,trend,remainder
2024-01-23,1,-3.042387789181665e-17,1,0
2024-01-24,1,-1.67190445240983e-17,1,0
2024-01-25,1,-1.5677893611433368e-17,0.9999999999999999,1.1102230246251565e-16
2024-01-26,1,1.2905480017868914e-17,0.9999999999999999,1.1102230246251565e-16
2024-01-27,1,1.5243267816035492e-17,0.9999999999999999,1.1102230246251565e-16
2024-01-28,1,2.6454913232429457e-17,0.9999999999999999,1.1102230246251565e-16
2024-01-29,1,8.217150302878428e-18,0.9999999999999998,2.220446049250313e-16
2024-01-30,1,-3.042387789181665e-17,0.9999999999999998,2.220446049250313e-16
2024-01-31,1,-1.67190445240983e-17,0.9999999999999998,2.220446049250313e-16
2024-02-01,1,-1.5677893611433368e-17,0.9999999999999997,3.3306690738754696e-16
2024-02-02,1,1.2905480017868914e-17,0.9999999999999997,3.3306690738754696e-16
2024-02-03,1,1.5243267816035492e-17,0.9999999999999998,2.220446049250313e-16
2024-02-04,1,2.6454913232429457e-17,0.9999999999999998,2.220446049250313e-16
2024-02-05,1,8.217150302878428e-18,0.9999999999999998,2.220446049250313e-16
2024-02-06,1,-3.042387789181665e-17,0.9999999999999999,1.1102230246251565e-16
2024-02-07,1,-1.67190445240983e-17,1,0
2024-02-08,1,-1.5677893611433368e-17,1,0
2024-02-09,1,1.2905480017868914e-17,1,0
2024-02-10,1,1.5243267816035492e-17,1,0
2024-02-11,1,2.6454913232429457e-17,1.0000000000000002,-2.220446049250313e-16
2024-02-12,1,8.217150302878428e-18,1.0000000000000002,-2.220446049250313e-16
2024-02-13,1,-3.042387789181665e-17,1.0000000000000002,-2.220446049250313e-16
2024-02-14,1,-1.67190445240983e-17,1.0000000000000002,-2.220446049250313e-16
2024-02-15,1,-1.5677893611433368e-17,1.0000000000000002,-2.220446049250313e-16
2024-02-16,1,1.2905480017868914e-17,1.0000000000000002,-2.220446049250313e-16
2024-02-17,1,1.5243267816035492e-17,1.0000000000000004,-4.440892098500626e-16
2024-02-18,1,2.6454913232429457e-17,1.0000000000000004,-4.440892098500626e-16
2024-02-19,1,8.217150302878428e-18,1.0000000000000004,-4.440892098500626e-16
2024-02-20,1,-3.042387789181665e-17,1.0000000000000004,-4.440892098500626e-16
2024-02-21,1,-1.67190445240983e-17,1.0000000000000004,-4.440892098500626e-16
2024-02-22,1,-1.5677893611433368e-17,1.0000000000000004,-4.440892098500626e-16
2024-02-23,1,1.2905480017868914e-17,1.0000000000000004,-4.440892098500626e-16
2024-02-24,1,1.5243267816035492e-17,1.0000000000000004,-4.440892098500626e-16
2024-02-25,1,2.6454913232429457e-17,1.0000000000000002,-2.220446049250313e-16
2024-02-26,1,8.217150302878428e-18,1.0000000000000002,-2.220446049250313e-16
2024-02-27,1,-3.042387789181665e-17,1.0000000000000002,-2.220446049250313e-16
2024-02-28,1,-1.67190445240983e-17,1.0000000000000002,-2.220446049250313e-16
2024-02-29,1,-1.5677893611433368e-17,1.0000000000000002,-2.220446049250313e-16
2024-03-01,1,1.2905480017868914e-17,1,0
2024-03-02,1,1.5243267816035492e-17,1,0
2024-03-03,1,2.6454913232429457e-17,1,0
2024-03-04,1,8.217150302878428e-18,1,0
2024-03-05,1,-3.042387789181665e-17,1,0
2024-03-06,1,-1.67190445240983e-17,1,0
2024-03-07,1,-1.5677893611433368e-17,1,0
2024-03-08,1,1.2905480017868914e-17,1,0
2024-03-09,1,1.5243267816035492e-17,1,0
2024-03-10,1,2.6454913232429457e-17,1,0
2024-03-11,1,8.217150302878428e-18,1,0
2024-03-12,1,-3.042387789181665e-17,1,0
2024-03-13,1,-1.67190445240983e-17,1,0
2024-03-14,1,-1.5677893611433368e-17,1,0
2024-03-15,1,1.2905480017868914e-17,1,0
2024-03-16,1,1.5243267816035492e-17,1.0000000000000002,-2.220446049250313e-16
2024-03-17,1,2.6454913232429457e-17,1.0000000000000002,-2.220446049250313e-16
2024-03-18,1,8.217150302878428e-18,1.0000000000000002,-2.220446049250313e-16
2024-03-19,1,-3.042387789181665e-17,1.0000000000000002,-2.220446049250313e-16
2024-03-20,1,-1.67190445240983e-17,1.0000000000000002,-2.220446049250313e-16
2024-03-21,1,-1.5677893611433368e-17,1.0000000000000004,-4.440892098500626e-16
2024-03-22,1,1.2905480017868914e-17,1.0000000000000004,-4.440892098500626e-16
2024-03-23,1,1.5243267816035492e-17,1.0000000000000004,-4.440892098500626e-16
2024-03-24,1,2.6454913232429457e-17,1.0000000000000004,-4.440892098500626e-16
2024-03-25,1,8.217150302878428e-18,1.0000000000000004,-4.440892098500626e-16
2024-03-26,1,-3.042387789181665e-17,1.0000000000000004,-4.440892098500626e-16
2024-03-27,1,-1.67190445240983e-17,1.0000000000000004,-4.440892098500626e-16
2024-03-28,1,-1.5677893611433368e-17,1.0000000000000004,-4.440892098500626e-16
2024-03-29,1,1.2905480017868914e-17,1.0000000000000004,-4.440892098500626e-16
2024-03-30,1,1.5243267816035492e-17,1.0000000000000004,-4.440892098500626e-16
2024-03-31,1,2.6454913232429457e-17,1.0000000000000004,-4.440892098500626e-16
2024-04-01,1,8.217150302878428e-18,1.0000000000000004,-4.440892098500626e-16
2024-04-02,1,-3.042387789181665e-17,1.0000000000000004,-4.440892098500626e-16
2024-04-03,1,-1.67190445240983e-17,1.0000000000000002,-2.220446049250313e-16
2024-04-04,1,-1.5677893611433368e-17,1.0000000000000002,-2.220446049250313e-16
2024-04-05,1,1.2905480017868914e-17,1,0
2024-04-06,1,1.5243267816035492e-17,0.9999999999999999,1.1102230246251565e-16
