date,observed,season,trend,remainder
2024-01-23,0,-6.294040920655605e-27,7.792511192283731e-28,5.5147898014272316e-27
2024-01-24,0,-6.877067301753415e-27,7.555834170103012e-28,6.121483884743113e-27
2024-01-25,0,-7.015049961149219e-27,7.319157147922294e-28,6.2831342463569895e-27
2024-01-26,0,-7.630138131145334e-27,7.082480125741574e-28,6.921890118571177e-27
2024-01-27,0,9.027278276739522e-27,6.845803103560855e-28,-9.711858587095607e-27
2024-01-28,-1.4349296274686127e-42,9.365831780464258e-27,6.609126081380137e-28,-1.0026744388602273e-26
2024-01-29,0,9.423184891146409e-27,6.372449059199418e-28,-1.006042979706635e-26
2024-01-30,0,-6.294040920655605e-27,6.135772037018698e-28,5.680463716953735e-27
2024-01-31,0,-6.877067301753415e-27,5.899095014837979e-28,6.287157800269617e-27
2024-02-01,0,-7.015049961149219e-27,5.662417992657261e-28,6.448808161883493e-27
2024-02-02,0,-7.630138131145334e-27,5.425740970476542e-28,7.08756403409768e-27
2024-02-03,0,9.027278276739522e-27,5.205205687077147e-28,-9.547798845447236e-27
2024-02-04,0,9.365831780464258e-27,4.984670403677752e-28,-9.864298820832033e-27
2024-02-05,0,9.423184891146409e-27,4.764135120278358e-28,-9.899598403174244e-27
2024-02-06,0,-6.294040920655605e-27,4.543599836878963e-28,5.839680936967709e-27
2024-02-07,0,-6.877067301753415e-27,4.3230645534795685e-28,6.444760846405458e-27
2024-02-08,0,-7.015049961149219e-27,4.102529270080174e-28,6.604797034141201e-27
2024-02-09,0,-7.630138131145334e-27,3.881993986680779e-28,7.241938732477256e-27
2024-02-10,0,9.027278276739522e-27,3.661458703281384e-28,-9.39342414706766e-27
2024-02-11,0,9.365831780464258e-27,3.4409234198819896e-28,-9.709924122452457e-27
2024-02-12,0,9.423184891146409e-27,3.220388136482595e-28,-9.745223704794668e-27
2024-02-13,0,-6.294040920655605e-27,3.007607476878379e-28,5.993280172967767e-27
2024-02-14,0,-6.877067301753415e-27,2.7948268172741633e-28,6.597584620025998e-27
2024-02-15,0,-7.015049961149219e-27,2.5820461576699472e-28,6.756845345382224e-27
2024-02-16,0,-7.630138131145334e-27,2.369265498065731e-28,7.393211581338761e-27
2024-02-17,0,9.027278276739522e-27,2.1564848384615156e-28,-9.242926760585673e-27
2024-02-18,0,9.365831780464258e-27,1.9437041788572995e-28,-9.560202198349988e-27
2024-02-19,0,9.423184891146409e-27,1.7309235192530837e-28,-9.596277243071717e-27
2024-02-20,0,-6.294040920655605e-27,1.5181428596488679e-28,6.142226634690718e-27
2024-02-21,0,-6.877067301753415e-27,1.305362200044652e-28,6.74653108174895e-27
2024-02-22,0,-7.015049961149219e-27,1.0925815404404362e-28,6.905791807105176e-27
2024-02-23,0,-7.630138131145334e-27,9.168342881930717e-29,7.538454702326028e-27
2024-02-24,-1.4349296274686127e-42,9.027278276739522e-27,7.410870359457071e-29,-9.101386980334093e-27
2024-02-25,0,9.365831780464258e-27,5.653397836983426e-29,-9.422365758834093e-27
2024-02-26,0,9.423184891146409e-27,3.8959253145097807e-29,-9.462144144291507e-27
2024-02-27,0,-6.294040920655605e-27,2.1384527920361353e-29,6.272656392735243e-27
2024-02-28,0,-6.877067301753415e-27,3.8098026956248994e-30,6.87325749905779e-27
2024-02-29,0,-7.015049961149219e-27,-1.3764922529111554e-29,7.02881488367833e-27
2024-03-01,0,-7.630138131145334e-27,-3.133964775384801e-29,7.661477778899183e-27
2024-03-02,0,9.027278276739522e-27,-4.891437297858446e-29,-8.978363903760937e-27
2024-03-03,0,9.365831780464258e-27,-6.64890982033209e-29,-9.299342682260937e-27
2024-03-04,0,9.423184891146409e-27,-6.928720014796862e-29,-9.35389769099844e-27
2024-03-05,0,-6.294040920655605e-27,-7.208530209261633e-29,6.366126222748221e-27
2024-03-06,0,-6.877067301753415e-27,-7.488340403726403e-29,6.951950705790678e-27
2024-03-07,0,-7.015049961149219e-27,-7.768150598191175e-29,7.09273146713113e-27
2024-03-08,0,-7.630138131145334e-27,-8.047960792655946e-29,7.710617739071893e-27
2024-03-09,0,9.027278276739522e-27,-8.327770987120717e-29,-8.944000566868315e-27
2024-03-10,0,9.365831780464258e-27,-8.607581181585487e-29,-9.279755968648403e-27
2024-03-11,0,9.423184891146409e-27,-8.887391376050259e-29,-9.334310977385906e-27
2024-03-12,0,-6.294040920655605e-27,-9.16720157051503e-29,6.385712936360755e-27
2024-03-13,0,-6.877067301753415e-27,-9.447011764979801e-29,6.971537419403213e-27
2024-03-14,0,-7.015049961149219e-27,-9.43588504100829e-29,7.109408811559302e-27
2024-03-15,0,-7.630138131145334e-27,-9.42475831703678e-29,7.724385714315701e-27
2024-03-16,0,9.027278276739522e-27,-9.413631593065269e-29,-8.93314196080887e-27
2024-03-17,0,9.365831780464258e-27,-9.402504869093759e-29,-9.271806731773321e-27
2024-03-18,0,9.423184891146409e-27,-9.391378145122248e-29,-9.329271109695186e-27
2024-03-19,0,-6.294040920655605e-27,-9.380251421150737e-29,6.387843434867112e-27
2024-03-20,0,-6.877067301753415e-27,-9.369124697179227e-29,6.970758548725206e-27
2024-03-21,0,-7.015049961149219e-27,-9.357997973207716e-29,7.108629940881296e-27
2024-03-22,0,-7.630138131145334e-27,-9.346871249236206e-29,7.723606843637696e-27
2024-03-23,0,9.027278276739522e-27,-9.335744525264695e-29,-8.933920831486875e-27
2024-03-24,0,9.365831780464258e-27,-9.347278170007813e-29,-9.27235899876418e-27
2024-03-25,0,9.423184891146409e-27,-9.358811814750931e-29,-9.329596772998899e-27
2024-03-26,0,-6.294040920655605e-27,-9.37034545949405e-29,6.3877443752505456e-27
2024-03-27,0,-6.877067301753415e-27,-9.381879104237168e-29,6.970886092795786e-27
2024-03-28,0,-7.015049961149219e-27,-9.393412748980286e-29,7.108984088639022e-27
2024-03-29,0,-7.630138131145334e-27,-9.404946393723403e-29,7.724187595082569e-27
2024-03-30,0,9.027278276739522e-27,-9.416480038466521e-29,-8.933113476354856e-27
2024-03-31,0,9.365831780464258e-27,-9.428013683209639e-29,-9.271551643632163e-27
2024-04-01,0,9.423184891146409e-27,-9.439547327952757e-29,-9.328789417866881e-27
2024-04-02,0,-6.294040920655605e-27,-9.451080972695875e-29,6.3885517303825635e-27
2024-04-03,0,-6.877067301753415e-27,-9.452966425571979e-29,6.971596966009134e-27
2024-04-04,0,-7.015049961149219e-27,-9.454851878448083e-29,7.1095984799337e-27
2024-04-05,0,-7.630138131145334e-27,-9.456737331324185e-29,7.724705504458576e-27
2024-04-06,0,9.027278276739522e-27,-9.458622784200289e-29,-8.93269204889752e-27
2024-04-07,0,9.365831780464258e-27,-9.460508237076393e-29,-9.271226698093494e-27
2024-04-08,0,9.423184891146409e-27,-9.462393689952496e-29,-9.328560954246884e-27
2024-04-09,0,-6.294040920655605e-27,-9.4642791428286e-29,6.388683712083891e-27
2024-04-10,0,-6.877067301753415e-27,-9.466164595704703e-29,6.971728947710462e-27
2024-04-11,0,-7.015049961149219e-27,-9.468050048580806e-29,7.109730461635027e-27
2024-04-12,0,-7.630138131145334e-27,-9.46993550145691e-29,7.724837486159903e-27
2024-04-13,0,9.027278276739522e-27,-9.458686103970303e-29,-8.932691415699819e-27
2024-04-14,0,9.365831780464258e-27,-9.447436706483695e-29,-9.271357413399422e-27
2024-04-15,0,9.423184891146409e-27,-9.436187308997086e-29,-9.328823018056438e-27
2024-04-16,0,-6.294040920655605e-27,-9.424937911510479e-29,6.3882902997707096e-27
2024-04-17,0,-6.877067301753415e-27,-9.413688514023871e-29,6.971204186893653e-27
2024-04-18,0,-7.015049961149219e-27,-9.402439116537264e-29,7.109074352314592e-27
2024-04-19,0,-7.630138131145334e-27,-9.391189719050656e-29,7.724050028335841e-27
2024-04-20,0,9.027278276739522e-27,-9.379940321564048e-29,-8.933478873523881e-27
2024-04-21,0,9.365831780464258e-27,-9.36869092407744e-29,-9.272144871223483e-27
2024-04-22,0,9.423184891146409e-27,-9.357441526590833e-29,-9.3296104758805e-27
2024-04-23,0,-6.294040920655605e-27,-9.376757222775958e-29,6.3878084928833644e-27
2024-04-24,0,-6.877067301753415e-27,-9.396072918961082e-29,6.971028030943026e-27
2024-04-25,0,-7.015049961149219e-27,-9.415388615146208e-29,7.109203847300682e-27
2024-04-26,1.4349296274686127e-42,-7.630138131145334e-27,-9.434704311331333e-29,7.724485174258648e-27
2024-04-27,0,9.027278276739522e-27,-9.454020007516458e-29,-8.932738076664358e-27
2024-04-28,0,9.365831780464258e-27,-9.473335703701583e-29,-9.271098423427243e-27
2024-04-29,0,9.423184891146409e-27,-9.492651399886708e-29,-9.328258377147542e-27
2024-04-30,0,-6.294040920655605e-27,-9.511967096071834e-29,6.3891605916163234e-27
2024-05-01,0,-6.877067301753415e-27,-9.531282792256959e-29,6.972380129675984e-27
2024-05-02,0,-7.015049961149219e-27,-9.550598488442084e-29,7.11055594603364e-27
2024-05-03,0,-7.630138131145334e-27,-9.527490116144486e-29,7.72541303230678e-27
2024-05-04,0,9.027278276739522e-27,-9.504381743846888e-29,-8.932234459301053e-27
2024-05-05,0,9.365831780464258e-27,-9.481273371549291e-29,-9.271019046748765e-27
2024-05-06,0,9.423184891146409e-27,-9.458164999251694e-29,-9.328603241153892e-27
2024-05-07,0,-6.294040920655605e-27,-9.435056626954095e-29,6.388391486925146e-27
2024-05-08,0,-6.877067301753415e-27,-9.411948254656498e-29,6.971186784299979e-27
2024-05-09,0,-7.015049961149219e-27,-9.388839882358901e-29,7.108938359972808e-27
2024-05-10,0,-7.630138131145334e-27,-9.365731510061303e-29,7.723795446245948e-27
2024-05-11,0,9.027278276739522e-27,-9.342623137763705e-29,-8.933852045361885e-27
2024-05-12,0,9.365831780464258e-27,-9.319514765466108e-29,-9.272636632809597e-27
2024-05-13,0,9.423184891146409e-27,-9.342054663462488e-29,-9.329764344511784e-27
2024-05-14,0,-6.294040920655605e-27,-9.364594561458869e-29,6.387686866270194e-27
2024-05-15,0,-6.877067301753415e-27,-9.387134459455249e-29,6.970938646347968e-27
2024-05-16,0,-7.015049961149219e-27,-9.409674357451629e-29,7.109146704723735e-27
2024-05-17,0,-7.630138131145334e-27,-9.432214255448011e-29,7.724460273699814e-27
2024-05-18,0,9.027278276739522e-27,-9.454754153444391e-29,-8.932730735205077e-27
2024-05-19,0,9.365831780464258e-27,-9.477294051440772e-29,-9.271058839949851e-27
2024-05-20,0,9.423184891146409e-27,-9.499833949437152e-29,-9.328186551652037e-27
2024-05-21,0,-6.294040920655605e-27,-9.522373847433532e-29,6.38926465912994e-27
2024-05-22,0,-6.877067301753415e-27,-9.544913745429913e-29,6.972516439207713e-27
2024-05-23,0,-7.015049961149219e-27,-9.527255821699623e-29,7.110322519366215e-27
2024-05-24,0,-7.630138131145334e-27,-9.509597897969334e-29,7.725234110125028e-27
2024-05-25,0,9.027278276739522e-27,-9.491939974239045e-29,-8.932358876997132e-27
2024-05-26,0,9.365831780464258e-27,-9.474282050508756e-29,-9.27108895995917e-27
2024-05-27,0,9.423184891146409e-27,-9.456624126778466e-29,-9.328618649878623e-27
2024-05-28,0,-6.294040920655605e-27,-9.438966203048177e-29,6.388430582686087e-27
2024-05-29,0,-6.877067301753415e-27,-9.421308279317887e-29,6.971280384546593e-27
2024-05-30,0,-7.015049961149219e-27,-9.403650355587599e-29,7.109086464705095e-27
2024-05-31,0,-7.630138131145334e-27,-9.385992431857309e-29,7.723998055463907e-27
2024-06-01,0,9.027278276739522e-27,-9.368334508127019e-29,-8.933594931658252e-27
2024-06-02,0,9.365831780464258e-27,-9.377266948519863e-29,-9.272059110979059e-27
2024-06-03,0,9.423184891146409e-27,-9.386199388912707e-29,-9.329322897257282e-27
2024-06-04,-7.174648137343064e-43,-6.294040920655605e-27,-9.395131829305551e-29,6.38799223894866e-27
2024-06-05,0,-6.877067301753415e-27,-9.404064269698395e-29,6.971107944450398e-27
2024-06-06,0,-7.015049961149219e-27,-9.412996710091239e-29,7.1091799282501315e-27
2024-06-07,1.4349296274686127e-42,-7.630138131145334e-27,-9.421929150484082e-29,7.724357422650176e-27
2024-06-08,0,9.027278276739522e-27,-9.430861590876926e-29,-8.932969660830753e-27
2024-06-09,0,9.365831780464258e-27,-9.43979403126977e-29,-9.27143384015156e-27
2024-06-10,0,9.423184891146409e-27,-9.448726471662614e-29,-9.328697626429783e-27
2024-06-11,0,-6.294040920655605e-27,-9.457658912055457e-29,6.38861750977616e-27
2024-06-12,0,-6.877067301753415e-27,-9.458882420001394e-29,6.971656125953429e-27
2024-06-13,0,-7.015049961149219e-27,-9.460105927947331e-29,7.109651020428692e-27
2024-06-14,0,-7.630138131145334e-27,-9.461329435893267e-29,7.724751425504267e-27
2024-06-15,0,9.027278276739522e-27,-9.462552943839203e-29,-8.93265274730113e-27
2024-06-16,0,9.365831780464258e-27,-9.46377645178514e-29,-9.271194015946407e-27
2024-06-17,0,9.423184891146409e-27,-9.464999959731077e-29,-9.328534891549098e-27
2024-06-18,0,-6.294040920655605e-27,-9.466223467677013e-29,6.388703155332375e-27
2024-06-19,0,-6.877067301753415e-27,-9.467446975622949e-29,6.971741771509645e-27
2024-06-20,0,-7.015049961149219e-27,-9.468670483568886e-29,7.109736665984908e-27
2024-06-21,0,-7.630138131145334e-27,-9.469893991514822e-29,7.724837071060483e-27
2024-06-22,0,9.027278276739522e-27,-9.458430074931175e-29,-8.93269397599021e-27
2024-06-23,0,9.365831780464258e-27,-9.446966158347527e-29,-9.271362118880782e-27
2024-06-24,0,9.423184891146409e-27,-9.435502241763879e-29,-9.32882986872877e-27
