date,observed,season,trend,remainder
2024-01-23,0,1.2146931397268928e-4,6.388806194167147e-6,-1.2785812016685643e-4
2024-01-24,0,-2.41976429805042e-4,6.189906193770881e-6,2.3578652361127113e-4
2024-01-25,0,-0.0012226268274477862,5.991006193374615e-6,0.0012166358212544115
2024-01-26,0,6.583708914610302e-4,5.792106192978351e-6,-6.641629976540086e-4
2024-01-27,0,8.925755784441995e-4,5.593206192582085e-6,-8.981687846367816e-4
2024-01-28,0,9.343126923763764e-4,5.394306192185819e-6,-9.397069985685622e-4
2024-01-29,0,-0.0011421252628384963,5.195406191789554e-6,0.0011369298566467068
2024-01-30,0,1.2146931397268928e-4,4.996506191393288e-6,-1.2646582016408257e-4
2024-01-31,0,-2.41976429805042e-4,4.797606190997023e-6,2.37178823614045e-4
2024-02-01,0,-0.0012226268274477862,4.598706190600758e-6,0.0012180281212571854
2024-02-02,0,6.583708914610302e-4,4.399806190204492e-6,-6.627706976512348e-4
2024-02-03,0,8.925755784441995e-4,4.209195595502056e-6,-8.967847740397016e-4
2024-02-04,0,9.343126923763764e-4,4.01858500079962e-6,-9.38331277377176e-4
2024-02-05,0,-0.0011421252628384963,3.8279744060971845e-6,0.0011382972884323992
2024-02-06,0,1.2146931397268928e-4,3.637363811394748e-6,-1.2510667778408403e-4
2024-02-07,0,-2.41976429805042e-4,3.4467532166923125e-6,2.385296765883497e-4
2024-02-08,0,-0.0012226268274477862,3.2561426219898765e-6,0.0012193706848257963
2024-02-09,0,6.583708914610302e-4,3.0655320272874406e-6,-6.614364234883177e-4
2024-02-10,0,8.925755784441995e-4,2.8749214325850046e-6,-8.954504998767845e-4
2024-02-11,0,9.343126923763764e-4,2.6843108378825686e-6,-9.369970032142589e-4
2024-02-12,0,-0.0011421252628384963,2.4937002431801327e-6,0.0011396315625953161
2024-02-13,-1.3552527156068805e-20,1.2146931397268928e-4,2.311094907213046e-6,-1.2378040887990233e-4
2024-02-14,0,-2.41976429805042e-4,2.1284895712459593e-6,2.3984794023379605e-4
2024-02-15,0,-0.0012226268274477862,1.945884235278873e-6,0.0012206809432125073
2024-02-16,0,6.583708914610302e-4,1.7632788993117864e-6,-6.60134170360342e-4
2024-02-17,0,8.925755784441995e-4,1.5806735633446997e-6,-8.941562520075442e-4
2024-02-18,0,9.343126923763764e-4,1.398068227377613e-6,-9.35710760603754e-4
2024-02-19,0,-0.0011421252628384963,1.2154628914105266e-6,0.0011409097999470858
2024-02-20,1.3552527156068805e-20,1.2146931397268928e-4,1.03285755544344e-6,-1.225021715281327e-4
2024-02-21,0,-2.41976429805042e-4,8.502522194763534e-7,2.4112617758556565e-4
2024-02-22,0,-0.0012226268274477862,6.676468835092669e-7,0.001221959180564277
2024-02-23,0,6.583708914610302e-4,5.432332238460346e-7,-6.589141246848763e-4
2024-02-24,0,8.925755784441995e-4,4.1881956418280215e-7,-8.929943980083823e-4
2024-02-25,0,9.343126923763764e-4,2.9440590451956976e-7,-9.34607098280896e-4
2024-02-26,0,-0.0011421252628384963,1.6999224485633738e-7,0.00114195527059364
2024-02-27,0,1.2146931397268928e-4,4.5578585193105e-8,-1.2151489255788238e-4
2024-02-28,0,-2.41976429805042e-4,-7.883507447012738e-8,2.4205526487951215e-4
2024-02-29,0,-0.0012226268274477862,-2.0324873413335976e-7,0.0012228300761819196
2024-03-01,0,6.583708914610302e-4,-3.2766239379659214e-7,-6.580432290672337e-4
2024-03-02,0,8.925755784441995e-4,-4.520760534598245e-7,-8.921235023907397e-4
2024-03-03,0,9.343126923763764e-4,-5.764897131230569e-7,-9.337362026632533e-4
2024-03-04,0,-0.0011421252628384963,-5.774800925287364e-7,0.001142702742931025
2024-03-05,0,1.2146931397268928e-4,-5.784704719344159e-7,-1.2089084350075486e-4
2024-03-06,0,-2.41976429805042e-4,-5.794608513400954e-7,2.425558906563821e-4
2024-03-07,0,-0.0012226268274477862,-5.804512307457748e-7,0.0012232072786785319
2024-03-08,0,6.583708914610302e-4,-5.814416101514544e-7,-6.577894498508788e-4
2024-03-09,0,8.925755784441995e-4,-5.824319895571338e-7,-8.919931464546424e-4
2024-03-10,0,9.343126923763764e-4,-5.834223689628133e-7,-9.337292700074136e-4
2024-03-11,0,-0.0011421252628384963,-5.844127483684927e-7,0.0011427096755868649
2024-03-12,0,1.2146931397268928e-4,-5.854031277741723e-7,-1.208839108449151e-4
2024-03-13,0,-2.41976429805042e-4,-5.863935071798517e-7,2.4256282331222185e-4
2024-03-14,0,-0.0012226268274477862,-5.701593266785087e-7,0.0012231969867744646
2024-03-15,0,6.583708914610302e-4,-5.539251461771655e-7,-6.578169663148531e-4
2024-03-16,0,8.925755784441995e-4,-5.376909656758223e-7,-8.920378874785237e-4
2024-03-17,0,9.343126923763764e-4,-5.214567851744792e-7,-9.337912355912019e-4
2024-03-18,0,-0.0011421252628384963,-5.052226046731361e-7,0.0011426304854431696
2024-03-19,0,1.2146931397268928e-4,-4.889884241717929e-7,-1.2098032554851749e-4
2024-03-20,0,-2.41976429805042e-4,-4.727542436704498e-7,2.4244918404871246e-4
2024-03-21,0,-0.0012226268274477862,-4.5652006316910666e-7,0.0012230833475109554
2024-03-22,0,6.583708914610302e-4,-4.4028588266776353e-7,-6.579306055783625e-4
2024-03-23,0,8.925755784441995e-4,-4.240517021664204e-7,-8.921515267420331e-4
2024-03-24,0,9.343126923763764e-4,-4.3901988284048477e-7,-9.338736724935359e-4
2024-03-25,0,-0.0011421252628384963,-4.5398806351454913e-7,0.0011425792509020109
2024-03-26,0,1.2146931397268928e-4,-4.6895624418861356e-7,-1.2100035772850066e-4
2024-03-27,0,-2.41976429805042e-4,-4.839244248626779e-7,2.424603542299047e-4
2024-03-28,0,-0.0012226268274477862,-4.988926055367423e-7,0.001223125720053323
2024-03-29,0,6.583708914610302e-4,-5.138607862108067e-7,-6.578570306748194e-4
2024-03-30,0,8.925755784441995e-4,-5.28828966884871e-7,-8.920467494773146e-4
2024-03-31,0,9.343126923763764e-4,-5.437971475589355e-7,-9.337688952288175e-4
2024-04-01,0,-0.0011421252628384963,-5.587653282329998e-7,0.0011426840281667293
2024-04-02,0,1.2146931397268928e-4,-5.737335089070642e-7,-1.2089558046378221e-4
2024-04-03,0,-2.41976429805042e-4,-5.626118220022584e-7,2.4253904162704426e-4
2024-04-04,0,-0.0012226268274477862,-5.514901350974527e-7,0.0012231783175828837
2024-04-05,0,6.583708914610302e-4,-5.403684481926469e-7,-6.578305230128376e-4
2024-04-06,0,8.925755784441995e-4,-5.292467612878411e-7,-8.920463316829117e-4
2024-04-07,0,9.343126923763764e-4,-5.181250743830354e-7,-9.337945673019933e-4
2024-04-08,0,-0.0011421252628384963,-5.070033874782296e-7,0.0011426322662259746
2024-04-09,0,1.2146931397268928e-4,-4.958817005734238e-7,-1.2097343227211586e-4
2024-04-10,0,-2.41976429805042e-4,-4.847600136686181e-7,2.4246118981871063e-4
2024-04-11,0,-0.0012226268274477862,-4.7363832676381224e-7,0.00122310046577455
2024-04-12,0,6.583708914610302e-4,-4.6251663985900647e-7,-6.579083748211712e-4
2024-04-13,0,8.925755784441995e-4,-4.6678193159851265e-7,-8.92108796512601e-4
2024-04-14,0,9.343126923763764e-4,-4.710472233380188e-7,-9.338416451530383e-4
2024-04-15,0,-0.0011421252628384963,-4.753125150775249e-7,0.001142600575353574
2024-04-16,0,1.2146931397268928e-4,-4.79577806817031e-7,-1.2098973616587224e-4
2024-04-17,0,-2.41976429805042e-4,-4.838430985565373e-7,2.4246027290359854e-4
2024-04-18,0,-0.0012226268274477862,-4.881083902960434e-7,0.0012231149358380821
2024-04-19,0,6.583708914610302e-4,-4.923736820355495e-7,-6.578785177789947e-4
2024-04-20,0,8.925755784441995e-4,-4.966389737750558e-7,-8.920789394704244e-4
